"time";"godzina";"otwarcie";"max";"min";"zamkniecie"
20190101;200000;0.898530;0.898600;0.898530;0.898600
20190102;80000;0.901430;0.901480;0.901230;0.901290
20190102;120000;0.901410;0.901590;0.901380;0.901580
20190102;160000;0.899590;0.899610;0.899530;0.899600
20190102;200000;0.903640;0.903750;0.903540;0.903750
20190103;80000;0.903070;0.903150;0.903030;0.903120
20190103;120000;0.902330;0.902570;0.902320;0.902550
20190103;160000;0.902080;0.902140;0.901970;0.902100
20190103;200000;0.902330;0.902400;0.902290;0.902330
20190104;80000;0.900220;0.900260;0.900080;0.900190
20190104;120000;0.895690;0.895720;0.895470;0.895500
20190104;160000;0.895160;0.895290;0.895080;0.895290
20190106;200000;0.895820;0.895850;0.895750;0.895770
20190107;80000;0.897340;0.897510;0.897310;0.897360
20190107;120000;0.898900;0.898940;0.898850;0.898920
20190107;160000;0.898690;0.898730;0.898570;0.898730
20190107;200000;0.897380;0.897380;0.897310;0.897340
20190108;80000;0.898100;0.898120;0.897950;0.898000
20190108;120000;0.899430;0.899540;0.899370;0.899530
20190108;160000;0.899330;0.899410;0.899330;0.899410
20190108;200000;0.899310;0.899340;0.899240;0.899290
20190109;80000;0.898580;0.898720;0.898490;0.898560
20190109;120000;0.902900;0.902910;0.902650;0.902680
20190109;160000;0.902460;0.902500;0.902390;0.902490
20190109;200000;0.903110;0.903150;0.903050;0.903120
20190110;80000;0.904750;0.904840;0.904550;0.904610
20190110;120000;0.902050;0.902370;0.902000;0.902300
20190110;160000;0.902060;0.902190;0.902050;0.902160
20190110;200000;0.902820;0.902830;0.902760;0.902770
20190111;80000;0.900200;0.900320;0.900110;0.900130
20190111;120000;0.894300;0.894350;0.894060;0.894070
20190111;160000;0.892300;0.892400;0.892230;0.892250
20190113;200000;0.891810;0.891890;0.891810;0.891860
20190114;80000;0.891950;0.891980;0.891830;0.891910
20190114;120000;0.891920;0.892200;0.891920;0.892120
20190114;160000;0.891270;0.891280;0.891180;0.891220
20190114;200000;0.890640;0.890710;0.890640;0.890710
20190115;80000;0.890440;0.890670;0.890390;0.890660
20190115;120000;0.892720;0.893080;0.892690;0.893080
20190115;160000;0.885850;0.885950;0.885780;0.885830
20190115;200000;0.887400;0.887560;0.887340;0.887530
20190116;80000;0.884380;0.884750;0.883990;0.884550
20190116;120000;0.886950;0.886950;0.886720;0.886870
20190116;160000;0.884380;0.884400;0.884220;0.884240
20190116;200000;0.884630;0.884710;0.884610;0.884670
20190117;80000;0.883250;0.883550;0.883250;0.883350
20190117;120000;0.879900;0.880080;0.879880;0.880050
20190117;160000;0.876980;0.877100;0.876920;0.877010
20190117;200000;0.878000;0.878080;0.877970;0.878010
20190118;80000;0.881390;0.881420;0.881000;0.881120
