"";"data";"godzina";"zamkniecie"
"1";20180228;80000;148,75
"2";20180228;120000;148,27
"3";20180228;160000;147,02
"4";20180228;200000;146,83
"5";20180301;80000;146,81
"6";20180301;120000;146,6
"7";20180301;160000;146,87
"8";20180301;200000;146,26
"9";20180302;80000;145,54
"10";20180302;120000;145,34
"11";20180302;160000;145,19
"12";20180302;200000;145,51
"13";20180305;80000;145,08
"14";20180305;120000;145,96
"15";20180305;160000;146,53
"16";20180305;200000;146,85
"17";20180306;80000;146,66
"18";20180306;120000;147,77
"19";20180306;160000;147,15
"20";20180306;200000;147,48
"21";20180307;80000;146,64
"22";20180307;120000;146,42
"23";20180307;160000;147,24
"24";20180307;200000;147,35
"25";20180308;80000;147,3
"26";20180308;120000;147,05
"27";20180308;160000;146,66
"28";20180308;200000;146,55
"29";20180309;80000;147,4
"30";20180309;120000;147,6
"31";20180309;160000;148,27
"32";20180309;200000;147,82
"33";20180312;80000;147,79
"34";20180312;120000;147,67
"35";20180312;160000;147,99
"36";20180312;200000;147,88
"37";20180313;80000;148,55
"38";20180313;120000;148,85
"39";20180313;160000;149,1
"40";20180313;200000;148,67
"41";20180314;80000;148,78
"42";20180314;120000;148,75
"43";20180314;160000;148,01
"44";20180314;200000;148,38
"45";20180315;80000;148,23
"46";20180315;120000;147,58
"47";20180315;160000;147,89
"48";20180315;200000;148,07
"49";20180316;80000;147,23
"50";20180316;120000;147,49
"51";20180316;160000;147,61
"52";20180316;200000;147,84
"53";20180319;80000;147,42
"54";20180319;120000;149,14
"55";20180319;160000;148,43
"56";20180319;200000;148,84
"57";20180320;80000;149,54
"58";20180320;120000;149,2
"59";20180320;160000;149,08
"60";20180320;200000;149,04
"61";20180321;80000;149,1
"62";20180321;120000;149,23
"63";20180321;160000;149,47
"64";20180321;200000;149,82
"65";20180322;80000;149,66
"66";20180322;120000;149,54
"67";20180322;160000;148,47
"68";20180322;200000;148,66
"69";20180323;80000;148,06
"70";20180323;120000;148,3
"71";20180323;160000;148,29
"72";20180323;200000;148,16
"73";20180326;80000;149,05
"74";20180326;120000;149,53
"75";20180326;160000;149,45
"76";20180326;200000;149,97
"77";20180327;80000;149,59
"78";20180327;120000;149,01
"79";20180327;160000;149,66
"80";20180327;200000;149,15
"81";20180328;80000;149,41
"82";20180328;120000;149,98
"83";20180328;160000;149,92
"84";20180328;200000;150,56
"85";20180329;80000;149,69
"86";20180329;120000;149,87
"87";20180329;160000;149,09
"88";20180329;200000;149,25
"89";20180330;80000;149,14
"90";20180330;120000;149,19
"91";20180330;160000;148,91
"92";20180330;200000;148,92
"93";20180402;80000;149,48
"94";20180402;120000;149,53
"95";20180402;160000;148,69
"96";20180402;200000;148,74
"97";20180403;80000;149,3
"98";20180403;120000;149,24
"99";20180403;160000;149,71
"100";20180403;200000;149,83
"101";20180404;80000;149,53
"102";20180404;120000;149,04
"103";20180404;160000;149,94
"104";20180404;200000;150,36
"105";20180405;80000;150,44
"106";20180405;120000;150,13
"107";20180405;160000;150,33
"108";20180405;200000;150,45
"109";20180406;80000;150,3
"110";20180406;120000;150,24
"111";20180406;160000;150,77
"112";20180406;200000;150,63
"113";20180409;80000;151,1
"114";20180409;120000;151,13
"115";20180409;160000;151,3
"116";20180409;200000;150,68
"117";20180410;80000;151,34
"118";20180410;120000;151,68
"119";20180410;160000;151,9
"120";20180410;200000;151,87
"121";20180411;80000;152
"122";20180411;120000;151,31
"123";20180411;160000;151,51
"124";20180411;200000;151,43
"125";20180412;80000;151,58
"126";20180412;120000;152,2
"127";20180412;160000;152,81
"128";20180412;200000;152,5
"129";20180413;80000;153,59
"130";20180413;120000;153,51
"131";20180413;160000;153,22
"132";20180413;200000;152,8
"133";20180416;80000;152,82
"134";20180416;120000;153,56
"135";20180416;160000;153,69
"136";20180416;200000;153,56
"137";20180417;80000;153,69
"138";20180417;120000;153,48
"139";20180417;160000;153,1
"140";20180417;200000;152,87
"141";20180418;80000;153,22
"142";20180418;120000;152,41
"143";20180418;160000;152,57
"144";20180418;200000;152,25
"145";20180419;80000;152,19
"146";20180419;120000;152,79
"147";20180419;160000;152,43
"148";20180419;200000;151,24
"149";20180420;80000;151
"150";20180420;120000;151,12
"151";20180420;160000;150,96
"152";20180420;200000;150,68
"153";20180423;80000;151,01
"154";20180423;120000;150,97
"155";20180423;160000;151,52
"156";20180423;200000;151,58
"157";20180424;80000;151,66
"158";20180424;120000;151,93
"159";20180424;160000;152,35
"160";20180424;200000;151,99
"161";20180425;80000;152,24
"162";20180425;120000;152,17
"163";20180425;160000;152,38
"164";20180425;200000;152,32
"165";20180426;80000;152,03
"166";20180426;120000;152,32
"167";20180426;160000;152,17
"168";20180426;200000;152,15
"169";20180427;80000;151,78
"170";20180427;120000;150,37
"171";20180427;160000;150,38
"172";20180427;200000;150,25
"173";20180501;80000;150,4
"174";20180501;120000;149,91
"175";20180501;160000;149,23
"176";20180501;200000;149,53
"177";20180502;80000;149,55
"178";20180502;120000;149,74
"179";20180502;160000;149,52
"180";20180502;200000;149,07
"181";20180503;80000;149,26
"182";20180503;120000;148,49
"183";20180503;160000;147,93
"184";20180503;200000;148,15
"185";20180504;80000;147,92
"186";20180504;120000;147,74
"187";20180504;160000;147,71
"188";20180504;200000;147,61
"189";20180507;80000;147,93
"190";20180507;120000;147,83
"191";20180507;160000;148,03
"192";20180507;200000;147,82
"193";20180508;80000;147,37
"194";20180508;120000;147,19
"195";20180508;160000;147,55
"196";20180508;200000;147,81
"197";20180509;80000;148,45
"198";20180509;120000;149,08
"199";20180509;160000;148,76
"200";20180509;200000;148,65
"201";20180510;80000;148,82
"202";20180510;120000;148,36
"203";20180510;160000;147,68
"204";20180510;200000;147,86
"205";20180511;80000;147,87
"206";20180511;120000;148,22
"207";20180511;160000;148,11
"208";20180511;200000;148,09
"209";20180514;80000;148,73
"210";20180514;120000;148,74
"211";20180514;160000;148,86
"212";20180514;200000;148,64
"213";20180515;80000;148,6
"214";20180515;120000;148,77
"215";20180515;160000;148,9
"216";20180515;200000;149,06
"217";20180516;80000;148,72
"218";20180516;120000;148,54
"219";20180516;160000;148,5
"220";20180516;200000;148,82
"221";20180517;80000;149,52
"222";20180517;120000;149,3
"223";20180517;160000;149,57
"224";20180517;200000;149,62
"225";20180518;80000;149,75
"226";20180518;120000;149,7
"227";20180518;160000;149,14
"228";20180518;200000;149,16
"229";20180521;80000;149,26
"230";20180521;120000;149,33
"231";20180521;160000;149,02
"232";20180521;200000;149,03
"233";20180522;80000;149,36
"234";20180522;120000;149,12
"235";20180522;160000;149,11
"236";20180522;200000;148,93
"237";20180523;80000;147,17
"238";20180523;120000;146,05
"239";20180523;160000;146,76
"240";20180523;200000;147,03
"241";20180524;80000;146,44
"242";20180524;120000;146,9
"243";20180524;160000;146,24
"244";20180524;200000;146,21
"245";20180525;80000;145,94
"246";20180525;120000;145,72
"247";20180525;160000;145,63
"248";20180528;80000;145,79
"249";20180528;120000;145,54
"250";20180528;160000;145,5
"251";20180528;200000;145,63
"252";20180529;80000;143,99
"253";20180529;120000;144,36
"254";20180529;160000;143,95
"255";20180529;200000;143,94
"256";20180530;80000;144,43
"257";20180530;120000;144,77
"258";20180530;160000;144,97
"259";20180530;200000;144,68
"260";20180531;80000;144,97
"261";20180531;120000;145,23
"262";20180531;160000;144,43
"263";20180531;200000;144,54
"264";20180601;80000;145,04
"265";20180601;120000;145,71
"266";20180601;160000;146,21
"267";20180601;200000;146,16
"268";20180604;80000;146,35
"269";20180604;120000;146,49
"270";20180604;160000;145,97
"271";20180604;200000;146,19
"272";20180605;80000;146,27
"273";20180605;120000;146,57
"274";20180605;160000;146,43
"275";20180605;200000;146,88
"276";20180606;80000;147,7
"277";20180606;120000;147,86
"278";20180606;160000;147,69
"279";20180606;200000;147,75
"280";20180607;80000;147,98
"281";20180607;120000;147,36
"282";20180607;160000;147,54
"283";20180607;200000;147,17
"284";20180608;80000;146,92
"285";20180608;120000;146,52
"286";20180608;160000;146,69
"287";20180608;200000;146,84
"288";20180611;80000;147,55
"289";20180611;120000;146,94
"290";20180611;160000;147,12
"291";20180611;200000;147,21
"292";20180612;80000;147,75
"293";20180612;120000;147,57
"294";20180612;160000;147,85
"295";20180612;200000;147,55
"296";20180613;80000;147,64
"297";20180613;120000;147,34
"298";20180613;160000;147,67
"299";20180613;200000;147,49
"300";20180614;80000;147,28
"301";20180614;120000;147,36
"302";20180614;160000;147,21
"303";20180614;200000;146,82
"304";20180615;80000;146,41
"305";20180615;120000;146,92
"306";20180615;160000;146,84
"307";20180615;200000;146,94
"308";20180618;80000;146,09
"309";20180618;120000;146,29
"310";20180618;160000;146,27
"311";20180618;200000;146,37
"312";20180619;80000;144,83
"313";20180619;120000;144,59
"314";20180619;160000;144,89
"315";20180619;200000;144,93
"316";20180620;80000;145,02
"317";20180620;120000;144,98
"318";20180620;160000;145,46
"319";20180620;200000;145,49
"320";20180621;80000;145,28
"321";20180621;120000;146,05
"322";20180621;160000;145,8
"323";20180621;200000;145,64
"324";20180622;80000;146,3
"325";20180622;120000;146,28
"326";20180622;160000;145,76
"327";20180622;200000;145,85
"328";20180625;80000;144,97
"329";20180625;120000;145,52
"330";20180625;160000;145,44
"331";20180625;200000;145,78
"332";20180626;80000;145,5
"333";20180626;120000;145,07
"334";20180626;160000;145,53
"335";20180626;200000;145,52
"336";20180627;80000;144,9
"337";20180627;120000;145,29
"338";20180627;160000;144,94
"339";20180627;200000;144,54
"340";20180628;80000;144,33
"341";20180628;120000;144,23
"342";20180628;160000;144,49
"343";20180628;200000;144,44
"344";20180629;80000;145,04
"345";20180629;120000;145,47
"346";20180629;160000;146,07
"347";20180629;200000;146,07
"348";20180702;80000;145,61
"349";20180702;120000;145,47
"350";20180702;160000;145,37
"351";20180702;200000;145,54
"352";20180703;80000;146,22
"353";20180703;120000;146,21
"354";20180703;160000;145,58
"355";20180703;200000;145,94
"356";20180704;80000;145,66
"357";20180704;120000;145,96
"358";20180704;160000;146,09
"359";20180704;200000;146,16
"360";20180705;80000;146,47
"361";20180705;120000;146,77
"362";20180705;160000;146,26
"363";20180705;200000;146,27
"364";20180706;80000;146,37
"365";20180706;120000;146,31
"366";20180706;160000;146,48
"367";20180709;80000;147,23
"368";20180709;120000;147,37
"369";20180709;160000;146,16
"370";20180709;200000;146,82
"371";20180710;80000;147,57
"372";20180710;120000;147,36
"373";20180710;160000;147,54
"374";20180710;200000;147,65
"375";20180711;80000;147,33
"376";20180711;120000;147,22
"377";20180711;160000;147,61
"378";20180711;200000;147,88
"379";20180712;80000;148,4
"380";20180712;120000;148,52
"381";20180712;160000;148,76
"382";20180712;200000;148,59
"383";20180713;80000;148,09
"384";20180713;120000;147,85
"385";20180713;160000;148,49
"386";20180716;80000;148,9
"387";20180716;120000;149,06
"388";20180716;160000;148,59
"389";20180716;200000;148,56
"390";20180717;80000;148,7
"391";20180717;120000;148,56
"392";20180717;160000;148,39
"393";20180717;200000;147,96
"394";20180718;80000;147,85
"395";20180718;120000;147,05
"396";20180718;160000;147,18
"397";20180718;200000;147,57
"398";20180719;80000;147,06
"399";20180719;120000;146,67
"400";20180719;160000;146,67
"401";20180719;200000;146,26
"402";20180720;80000;146,19
"403";20180720;120000;146,41
"404";20180720;160000;146,5
"405";20180723;80000;145,9
"406";20180723;120000;145,96
"407";20180723;160000;145,9
"408";20180723;200000;145,96
"409";20180724;80000;145,78
"410";20180724;120000;145,81
"411";20180724;160000;146,11
"412";20180724;200000;146,17
"413";20180725;80000;146,28
"414";20180725;120000;146,13
"415";20180725;160000;145,94
"416";20180725;200000;146,4
"417";20180726;80000;146,01
"418";20180726;120000;146,06
"419";20180726;160000;145,85
"420";20180726;200000;145,76
"421";20180727;80000;145,57
"422";20180727;120000;145,54
"423";20180727;160000;145,49
"424";20180730;80000;145,75
"425";20180730;120000;145,58
"426";20180730;160000;145,79
"427";20180730;200000;145,77
"428";20180731;80000;146,34
"429";20180731;120000;146,72
"430";20180731;160000;146,82
"431";20180731;200000;146,71
"432";20180801;80000;146,96
"433";20180801;120000;146,89
"434";20180801;160000;146,54
"435";20180801;200000;146,47
"436";20180802;80000;145,99
"437";20180802;120000;145,34
"438";20180802;160000;145,28
"439";20180802;200000;145,28
"440";20180803;80000;145,04
"441";20180803;120000;145,25
"442";20180803;160000;144,64
"443";20180806;80000;144,34
"444";20180806;120000;144,15
"445";20180806;160000;144,22
"446";20180806;200000;144,14
"447";20180807;80000;144,27
"448";20180807;120000;144,02
"449";20180807;160000;144,02
"450";20180807;200000;144,13
"451";20180808;80000;143,39
"452";20180808;120000;142,85
"453";20180808;160000;142,86
"454";20180808;200000;142,98
"455";20180809;80000;142,64
"456";20180809;120000;143,18
"457";20180809;160000;142,69
"458";20180809;200000;142,46
"459";20180810;80000;141,19
"460";20180810;120000;141,71
"461";20180810;160000;141,23
"462";20180813;80000;140,33
"463";20180813;120000;141,14
"464";20180813;160000;141,1
"465";20180813;200000;141,08
"466";20180814;80000;142,29
"467";20180814;120000;141,53
"468";20180814;160000;141,26
"469";20180814;200000;141,36
"470";20180815;80000;141,53
"471";20180815;120000;141
"472";20180815;160000;140,28
"473";20180815;200000;140,47
"474";20180816;80000;140,76
"475";20180816;120000;140,73
"476";20180816;160000;141,03
"477";20180816;200000;141,03
"478";20180817;80000;140,72
"479";20180817;120000;140,43
"480";20180817;160000;140,72
"481";20180820;80000;140,92
"482";20180820;120000;141,16
"483";20180820;160000;140,86
"484";20180820;200000;140,77
"485";20180821;80000;141,29
"486";20180821;120000;141,47
"487";20180821;160000;142,01
"488";20180821;200000;142,43
"489";20180822;80000;142,2
"490";20180822;120000;142,37
"491";20180822;160000;142,67
"492";20180822;200000;142,73
"493";20180823;80000;142,65
"494";20180823;120000;142,74
"495";20180823;160000;142,56
"496";20180823;200000;142,58
"497";20180824;80000;142,87
"498";20180824;120000;142,97
"499";20180824;160000;142,96
"500";20180827;80000;142,67
"501";20180827;120000;142,82
"502";20180827;160000;143,17
"503";20180827;200000;143,2
"504";20180828;80000;143,22
"505";20180828;120000;143,38
"506";20180828;160000;143,04
"507";20180828;200000;143,04
"508";20180829;80000;143,02
"509";20180829;120000;143,31
"510";20180829;160000;145,33
"511";20180829;200000;145,48
"512";20180830;80000;145,35
"513";20180830;120000;145
"514";20180830;160000;144,43
"515";20180830;200000;144,47
"516";20180831;80000;144,24
"517";20180831;120000;143,82
"518";20180831;160000;143,83
"519";20180903;80000;143,32
"520";20180903;120000;142,97
"521";20180903;160000;142,96
"522";20180903;200000;142,99
"523";20180904;80000;143
"524";20180904;120000;142,72
"525";20180904;160000;142,96
"526";20180904;200000;143,28
"527";20180905;80000;142,93
"528";20180905;120000;143,03
"529";20180905;160000;143,79
"530";20180905;200000;143,92
"531";20180906;80000;143,68
"532";20180906;120000;143,94
"533";20180906;160000;143,34
"534";20180906;200000;143,29
"535";20180907;80000;143,31
"536";20180907;120000;143,91
"537";20180907;160000;143,76
"538";20180910;80000;143,55
"539";20180910;120000;143,72
"540";20180910;160000;144,67
"541";20180910;200000;144,82
"542";20180911;80000;145,7
"543";20180911;120000;144,86
"544";20180911;160000;145,14
"545";20180911;200000;145,23
"546";20180912;80000;145,23
"547";20180912;120000;144,9
"548";20180912;160000;144,95
"549";20180912;200000;145,13
"550";20180913;80000;145,29
"551";20180913;120000;145,52
"552";20180913;160000;146,62
"553";20180913;200000;146,74
"554";20180914;80000;146,84
"555";20180914;120000;146,32
"556";20180914;160000;146,6
"557";20180917;80000;146,35
"558";20180917;120000;146,85
"559";20180917;160000;147,14
"560";20180917;200000;147,13
"561";20180918;80000;147,02
"562";20180918;120000;147,37
"563";20180918;160000;147,72
"564";20180918;200000;147,62
"565";20180919;80000;147,76
"566";20180919;120000;147,54
"567";20180919;160000;147,65
"568";20180919;200000;147,48
"569";20180920;80000;147,81
"570";20180920;120000;148,91
"571";20180920;160000;148,96
"572";20180920;200000;149,14
"573";20180921;80000;148,89
"574";20180921;120000;148,49
"575";20180921;160000;147,1
"576";20180924;80000;147,42
"577";20180924;120000;148,03
"578";20180924;160000;147,81
"579";20180924;200000;147,81
"580";20180925;80000;148,4
