Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-02,4.97,5.26,4.79,5.26,31852
2019-01-03,5.24,5.24,4.8,4.9,5438
2019-01-04,4.85,4.95,4.73,4.89,8633
2019-01-07,4.89,4.89,4.71,4.85,11766
2019-01-08,4.71,4.89,4.68,4.89,3354
2019-01-09,4.8,5.02,4.8,5.02,4122
2019-01-10,4.85,5.02,4.8,5.02,6605
2019-01-11,4.8,4.89,4.71,4.89,5775
2019-01-14,4.88,4.88,4.88,4.88,500
2019-01-17,4.89,4.89,4.89,4.89,363
2019-01-21,4.74,4.8,4.6,4.8,12465
2019-01-22,4.79,4.99,4.7,4.86,8137
2019-01-23,4.62,4.8,4.56,4.8,1239
2019-01-24,4.64,4.64,4.58,4.6,7903
2019-01-25,4.54,4.6,4.46,4.6,1281
2019-01-28,4.6,4.85,4.6,4.69,6601
2019-01-29,4.69,4.69,4.23,4.45,9501
2019-01-30,4.45,4.45,4.45,4.45,2500
2019-01-31,4.32,4.49,4.23,4.42,11944
2019-02-01,4.35,4.35,4.14,4.32,6924
2019-02-04,4.2,4.2,4.17,4.2,9666
2019-02-05,4.06,4.23,4.05,4.18,5339
2019-02-06,4.14,4.19,4.14,4.15,5505
2019-02-08,4.19,4.19,4.19,4.19,292
2019-02-11,4.19,4.48,4.19,4.35,9156
2019-02-12,4.46,4.46,4.24,4.3,4359
2019-02-13,4.3,4.44,4.28,4.44,2780
2019-02-14,4.23,4.23,4.23,4.23,2200
2019-02-15,4.23,4.43,4.23,4.43,2376
2019-02-19,4.26,4.38,4.24,4.38,1521
2019-02-20,4.38,4.38,4.22,4.22,2595
2019-02-21,4.22,4.3,4.12,4.13,2100
2019-02-22,4.16,4.16,4.12,4.13,2851
2019-02-25,4.2,4.2,4.1,4.1,2930
2019-02-26,4.05,4.05,3.95,3.95,11700
2019-02-28,4,4,4,4,295
2019-03-01,4.08,4.08,4.08,4.08,1800
2019-03-04,4.08,4.1,4,4.1,6544
2019-03-06,3.96,3.98,3.96,3.98,2993
2019-03-07,3.98,3.98,3.98,3.98,2020
2019-03-08,4,4,4,4,328
2019-03-12,4.1,4.1,4,4,160
2019-03-13,4.1,4.1,4.1,4.1,1831
2019-03-14,4.1,4.15,4.1,4.15,1644
